symbol,logFC,FDR
Ddit4,-2.25226329403517,7.84747189543022e-31
Gadd45g,-1.72534521924989,9.1928036745514e-29
Sgk1,-1.15100696111822,2.34085127868046e-10
Fasn,-2.64161685086381,3.15495190907631e-10
Gm47283,-1.23862785036998,8.36338250383097e-10
Thrsp,-1.47485996218062,1.06954102037867e-9
Tcim,-1.01114082978448,3.71101843271177e-9
Tbc1d4,0.74144214947878,1.18330727783291e-7
Arrdc2,-1.43523217226811,2.0614401962313e-7
Depp1,-1.4104490717321,2.61394600436084e-6
Acot1,1.42566577188178,3.67889713672081e-6
Nr1d1,1.31351513704413,5.73274207821223e-6
Junb,0.82033752690191,1.52907900728867e-5
Ccn2,-0.831654234480049,1.62496525046982e-5
Slc8a1,0.911745246608312,1.62496525046982e-5
Hba-a1,-1.18171775892336,3.50247777222715e-5
Zfp36,-0.9324732791389,4.39792342506503e-5
Rhob,-0.667230343800831,5.65703681497535e-5
Arrdc3,-1.27600248570554,6.5538612115369e-5
Hbb-bt,-1.27599994878049,1.10874854996867e-4
Fmo2,-0.596175792798093,1.57561643402887e-4
Cntfr,-1.03155860436138,3.28655591962506e-4
Slc25a1,-1.02839634865794,5.33039902272583e-4
Rbp4,-1.01157049477753,5.33039902272583e-4
Hbb-bs,-1.05737704040414,5.33039902272583e-4
Erdr1,-1.12582455062961,6.399874663266e-4
Dgat2,-0.682697574600925,6.99310921679521e-4
Gadd45b,0.532436187832806,8.2029114798387e-4
Arxes1,-2.107419363456,0.00117727496383695
Scd1,-1.80687498674296,0.00118558831331619
Trim7,-0.509733523699547,0.00132243975338705
Gm4544,1.28455701246293,0.00132243975338705
Hba-a2,-1.15656464801153,0.00141699219373302
Ankrd1,1.0334560126084,0.00283841132028941
Tkt,-0.876378054385786,0.00342370993818936
S1pr1,-0.498043107020259,0.00354495930932184
Eda2r,0.762150460190252,0.00508810761229664
Acot2,0.800192710893716,0.00548700139730163
Tgtp1,2.4199177292323,0.00601703041740313
Cebpd,-1.20694402868878,0.00660753385531487
Med26,-0.761944519957618,0.00721571356135399
Kcna5,-0.713830627655437,0.00739704761528509
Adh1,-0.653421574716734,0.00788408378281111
Glcci1,-1.37201640549045,0.00815835677317446
Elovl6,-2.43884911275183,0.0082457046419288
Inpp4b,0.609355743486003,0.0084170939471808
Gbp4,1.82525989511993,0.0100271302592464
H2-Q10,-1.27480300238358,0.011040307566795
Lrrc49,-1.8040175810752,0.0112596266346638
Stxbp4,-0.509609954811095,0.0128568308514079
Ppp1r27,0.664978406709839,0.0144644442672752
Oasl2,1.51850185485993,0.0157146435093383
E230001N04Rik,-1.72635797583632,0.0165787877492834
Tsc22d3,-0.545985069836551,0.0182332453527847
Pygl,-0.871056622285523,0.0197618839790085
Gvin2,1.41323559482708,0.0197618839790085
Bcl2l1,-0.555326293604986,0.0204487348453611
Adora1,-0.434496326984798,0.0213055006560147
Myl2,-0.577471793349524,0.0218458748417905
Prodh,-0.785107974933405,0.0226566005720456
Adamts1,0.469038913308684,0.0228388561984144
Egr1,1.56589849854949,0.0228388561984144
Ifi44,2.20184429977225,0.0229231121198264
Rhpn2,0.657873068825249,0.025015596677337
Mafb,-0.684151171534472,0.025015596677337
Gm10335,1.06714131635638,0.0257377745148439
Gm16867,0.758864633799305,0.026140465472551
Rp1,-1.32374321958445,0.0270305614416749
Gm52968,2.18904275366414,0.0377735638081201
Car5b,-0.971593639058851,0.0406427476759491
